date,max_temp,min_temp
2021-10-01,15.9,-0.1
2021-10-02,17.7,0.2
2021-10-03,17.6,0.5
2021-10-04,16.6,2.9
2021-10-05,14.1,2.5
2021-10-06,9.5,2.3
2021-10-07,9.4,0.7
2021-10-08,1.3,-8.5
2021-10-09,4.1,-12.2
2021-10-10,8.2,-9.0
2021-10-11,-0.5,-9.9
2021-10-12,2.4,-10.5
2021-10-13,3.5,-11.3
2021-10-14,10.5,-10.6
2022-10-01,15.6,2.3
2022-10-02,15.5,2.8
2022-10-03,17.8,-0.1
2022-10-04,16.8,1.5
2022-10-05,17.1,1.6
2022-10-06,17.1,2.3
2022-10-07,18.8,1.4
2022-10-08,17.4,2.4
2022-10-09,15.5,1.3
2022-10-10,14.5,1.7
2022-10-11,17.1,-0.1
2022-10-12,18.5,2.2
2022-10-13,17.1,2.6
2022-10-14,17.1,1.3
2023-10-01,5.4,-4.8
2023-10-02,8.8,-6.3
2023-10-03,14.3,-2.0
2023-10-04,16.6,1.3
2023-10-05,17.4,1.8
2023-10-06,17.9,2.0
2023-10-07,17.0,4.1
2023-10-08,17.0,4.2
2023-10-09,13.5,2.7
2023-10-10,10.9,0.3
2023-10-11,7.3,-2.8
2023-10-12,11.7,-3.0
2023-10-13,11.4,-0.3
2023-10-14,12.8,-0.0
2024-10-01,22.2,4.8
2024-10-02,21.4,7.2
2024-10-03,20.4,7.2
2024-10-04,16.9,7.0
2024-10-05,19.4,5.1
2024-10-06,19.3,6.6
2024-10-07,17.8,6.8
2024-10-08,17.8,4.5
2024-10-09,17.8,5.0
2024-10-10,15.9,6.1
2024-10-11,15.8,2.9
2024-10-12,14.4,3.9
2024-10-13,14.6,3.3
2024-10-14,17.4,0.0
2025-10-01,10.6,1.7
2025-10-02,10.5,3.8
2025-10-03,4.0,-3.2
2025-10-04,10.3,-3.9
2025-10-05,11.0,-2.3
2025-10-06,14.4,-1.8
2025-10-07,14.0,-0.6
2025-10-08,13.4,0.1
2025-10-09,13.0,0.7
2025-10-10,11.4,0.8
2025-10-11,5.6,-5.3
2025-10-12,9.3,-5.3
2025-10-13,1.4,-3.2
2025-10-14,0.2,-5.9
